Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-10;RAG-prompting classifier head;SapBERT;Llama 3.1 PEFT;23.42;71.74;28.17;73.53;19.7;51.51;0.1
ICD-10;RAG-prompting classifier head;SapBERT;Llama 3.3 base;33.5;79.84;36.7;81.56;24.73;60.01;0.54
ICD-10;RAG-prompting classifier head;SapBERT;Llama 3.3 PEFT;55.14;82.31;60.54;83.82;37.62;61.74;0.0
ICD-10;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.1 base;20.7;67.24;23.13;70.54;18.83;46.45;4.3
ICD-10;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.1 PEFT;20.7;73.27;24.84;75.0;17.81;49.71;0.0
ICD-10;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.3 base;35.28;79.89;38.91;81.49;27.23;60.66;0.49
ICD-10;RAG-prompting classifier head;deepset-mxbai-embed;Llama 3.3 PEFT;57.31;83.05;62.21;84.38;39.47;64.03;0.0
ICD-10;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.1 base;19.96;69.37;21.98;72.4;18.91;48.45;1.88
ICD-10;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.1 PEFT;21.49;72.78;26.15;74.27;19.24;47.9;0.15
ICD-10;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.3 base;35.38;81.47;39.07;83.22;28.07;63.21;0.89
ICD-10;RAG-prompting classifier head;jina-embeddings-v2;Llama 3.3 PEFT;57.66;84.04;62.54;85.15;38.76;63.28;0.0
ICD-10;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.1 base;20.8;68.73;23.04;71.92;20.42;48.42;1.78
ICD-10;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.1 PEFT;21.25;71.99;25.57;73.86;16.44;46.68;0.1
ICD-10;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.3 base;33.89;80.83;37.35;82.33;25.61;62.24;0.4
ICD-10;RAG-prompting classifier head;jina-embeddings-v3;Llama 3.3 PEFT;56.67;83.3;61.3;84.33;39.61;62.65;0.0
ICD-10;RAG-prompting classifier head;mE5;Llama 3.1 base;19.47;66.35;21.91;69.83;19.0;46.99;4.2
ICD-10;RAG-prompting classifier head;mE5;Llama 3.1 PEFT;21.0;73.32;25.93;75.46;19.88;49.74;0.05
ICD-10;RAG-prompting classifier head;mE5;Llama 3.3 base;32.71;78.8;36.35;80.32;25.51;59.76;0.54
ICD-10;RAG-prompting classifier head;mE5;Llama 3.3 PEFT;56.67;83.4;61.79;84.72;39.05;63.25;0.0
ICD-10;RAG-prompting classifier head;medBERT.de;Llama 3.1 base;15.71;68.97;17.87;72.24;18.01;48.94;3.31
ICD-10;RAG-prompting classifier head;medBERT.de;Llama 3.1 PEFT;23.22;73.07;27.93;74.54;17.28;46.5;0.2
ICD-10;RAG-prompting classifier head;medBERT.de;Llama 3.3 base;31.13;79.2;34.98;81.04;25.78;60.55;0.69
ICD-10;RAG-prompting classifier head;medBERT.de;Llama 3.3 PEFT;57.46;84.39;61.99;85.44;37.86;63.73;0.0
ICD-O-3;retrieval-baseline: similarity search;ModernBERT;—;11.61;25.99;11.83;28.67;9.76;21.3;0.0
ICD-O-3;retrieval-baseline: similarity search;Nomic Embed v2;—;34.09;66.3;37.99;67.04;24.99;44.32;0.0
ICD-O-3;retrieval-baseline: similarity search;Qwen3-Embedding-8B;—;42.69;73.47;45.46;74.49;23.63;50.73;0.0
ICD-O-3;retrieval-baseline: similarity search;SapBERT;—;31.32;52.96;35.04;57.21;21.28;40.17;0.0
ICD-O-3;retrieval-baseline: similarity search;deepset-mxbai-embed;—;29.45;61.41;32.29;63.56;20.95;40.6;0.0
ICD-O-3;retrieval-baseline: similarity search;jina-embeddings-v2;—;33.2;58.2;35.68;61.39;23.99;42.19;0.0
ICD-O-3;retrieval-baseline: similarity search;jina-embeddings-v3;—;33.5;66.85;36.64;68.37;25.09;47.21;0.0
ICD-O-3;retrieval-baseline: similarity search;mE5;—;29.55;64.87;32.85;67.18;19.36;42.16;0.0
ICD-O-3;retrieval-baseline: similarity search;medBERT.de;—;14.23;38.39;12.57;42.33;10.63;21.25;0.0
ICD-O-3;retrieval-baseline: classifier head;ModernBERT;—;13.14;25.3;13.19;26.44;8.94;24.45;0.0
ICD-O-3;retrieval-baseline: classifier head;Nomic Embed v2;—;22.92;35.38;21.86;35.25;16.48;33.05;0.0
