ICD10;Label;Rubrik
C30.1;Bösartige Neubildung: Mittelohr;preferredLong
C30.1;Bösartige Neubildung: Mittelohr;preferredLong
C31;Bösartige Neubildung der Nasennebenhöhlen;
C31.0;Bösartige Neubildung: Sinus maxillaris [Kieferhöhle];preferredLong
C31.0;Bösartige Neubildung: Sinus maxillaris [Kieferhöhle];preferredLong
C31.1;Bösartige Neubildung: Sinus ethmoidalis [Siebbeinzellen];preferredLong
C31.1;Bösartige Neubildung: Sinus ethmoidalis [Siebbeinzellen];preferredLong
C31.2;Bösartige Neubildung: Sinus frontalis [Stirnhöhle];preferredLong
C31.2;Bösartige Neubildung: Sinus frontalis [Stirnhöhle];preferredLong
C31.3;Bösartige Neubildung: Sinus sphenoidalis [Keilbeinhöhle];preferredLong
C31.3;Bösartige Neubildung: Sinus sphenoidalis [Keilbeinhöhle];preferredLong
C31.8;Bösartige Neubildung: Nasennebenhöhlen, mehrere Teilbereiche überlappend;preferredLong
C31.8;Bösartige Neubildung: Nasennebenhöhlen, mehrere Teilbereiche überlappend;preferredLong
C31.9;Bösartige Neubildung: Nasennebenhöhle, nicht näher bezeichnet;preferredLong
C31.9;Bösartige Neubildung: Nasennebenhöhle, nicht näher bezeichnet;preferredLong
C32;Bösartige Neubildung des Larynx;
C32.0;Bösartige Neubildung: Glottis;preferredLong
C32.0;Bösartige Neubildung: Glottis;preferredLong
C32.1;Bösartige Neubildung: Supraglottis;preferredLong
C32.1;Bösartige Neubildung: Supraglottis;preferredLong
C32.2;Bösartige Neubildung: Subglottis;preferredLong
C32.2;Bösartige Neubildung: Subglottis;preferredLong
C32.3;Bösartige Neubildung: Larynxknorpel;preferredLong
C32.3;Bösartige Neubildung: Larynxknorpel;preferredLong
C32.8;Bösartige Neubildung: Larynx, mehrere Teilbereiche überlappend;preferredLong
C32.8;Bösartige Neubildung: Larynx, mehrere Teilbereiche überlappend;preferredLong
C32.9;Bösartige Neubildung: Larynx, nicht näher bezeichnet;preferredLong
C32.9;Bösartige Neubildung: Larynx, nicht näher bezeichnet;preferredLong
C33;Bösartige Neubildung der Trachea;
C34;Bösartige Neubildung der Bronchien und der Lunge;
C34.0;Bösartige Neubildung: Hauptbronchus;preferredLong
C34.0;Bösartige Neubildung: Hauptbronchus;preferredLong
C34.1;Bösartige Neubildung: Oberlappen (-Bronchus);preferredLong
